act,sid,start,end,dur,narration,on_screen_text,screen_direction,camera_note,designer_wanted,now_is,plate_file,narration_from_audio
ACT3-8,A3-01,2:30.32,2:32.52,2.2,이 문장은 직무명이 아닙니다.,직무명이 아닙니다,책상 위 명함·조직도·직무기술서에 도착. 중앙에는 앞 장면의 회색 문장 카드.,후퇴 — ACT2의 3장 종이에서 실제 사무실 벽 절개 전체로 3% pull-back | 직무명 임의 생성 금지; 패널 Ken Burns,생성영상,정지+카메라,ACT3-8_350s/01_P01_x5cuts.png,이 문장은 직무명이 아닙니다.
ACT3-8,A3-02,2:32.52,2:36.34,3.82,그래서 오히려 여러 선택지를 비교할 때 사용할 수 있습니다.,,서로 다른 채용공고 3장을 나란히 놓고 중앙 문장 카드를 자처럼 가로 배치.,도착 — 같은 사무실 단면의 두 선택 가능한 작업 구역 사이로 4% dolly-in | 공고 본문 회색 바; 우열 표시 금지,생성영상,정지+카메라,ACT3-8_350s/01_P01_x5cuts.png,그래서 오히려 여러 선택지를 비교할 때 사용할 수 있습니다.
ACT3-8,A3-03,2:36.34,2:38.84,2.5,역할 다음엔 일하는 방식입니다.,,역할 카드 뒤로 실제 일정표·타이머·노트·협업 메모가 드러남.,도착 — 개인 책상과 협업 테이블이 함께 보이는 whole에 안착 | 홀로그램·회로 금지,생성영상,정지+카메라,ACT3-8_350s/01_P01_x5cuts.png,역할 다음엔 일하는 방식입니다.
ACT3-8,A3-04,2:38.84,2:45.88,7.04,"사람들은 흔히 무슨 일을 할지만 생각하지만, 같은 일도 어떤 방식으로 하느냐에 따라 경험이 크게 달라집니다.",,같은 종류 서류를 다루는 개인 집중 책상과 협업 테이블 2구획. 카메라 중앙 안착.,관통 — 같은 업무를 나타내는 회색 문서 묶음을 개인 책상→협업 테이블로 횡단 | 성과·정답 색상 금지,생성영상,정지+카메라,ACT3-8_350s/01_P01_x5cuts.png,"사람들은 흔히 무슨 일을 할지만 생각하지만, 같은 일도 어떤 방식으로 하느냐에 따라 경험이 크게 달라집니다."
ACT3-8,A3-05,2:45.88,2:48.42,2.54,이번에는 두 장면을 떠올려 보세요.,두 장면을 떠올려 보세요,좌우 두 사무실 구획 사이 벽이 절개된 전체 단면.,"후퇴 — 개인 서재와 협업공간 두 장면이 한 단면에 동시에 보이도록 5% pull-back | 패널 1개, 장식 없음",생성영상,정지+카메라,ACT3-8_350s/02_P02_x1cuts.png,이번에는 두 장면을 떠올려 보세요.
ACT3-8,A3-06,2:48.42,2:52.90,4.48,하나는 결과와 별개로 이렇게 일할 때는 나답다고 느낀 장면입니다.,,좌측 책상에 손때 묻은 노트·정리된 도구·완료 서류. 따뜻한 자연광.,도착 — 따뜻한 개인 서재의 실제 책상으로 낮은 사선 dolly | 트로피·성과수치 금지,생성영상,정지+카메라,ACT3-8_350s/01_P01_x5cuts.png,하나는 결과와 별개로 이렇게 일할 때는 나답다고 느낀 장면입니다.
ACT3-8,A3-07,2:52.90,2:58.92,6.02,다른 하나는 조건은 나쁘지 않았지만 이 방식은 오래 이어가기 어렵다고 느낀 장면입니다.,,우측 협업공간. 좋은 의자·정돈된 설비는 있으나 반복 알림·쌓인 회의자료가 보임.,도착 — 차갑고 복잡한 협업공간의 같은 높이·렌즈로 이동 | 공포·폄하 연출 금지,생성영상,정지+카메라,ACT3-8_350s/03_S03_x2cuts.png,다른 하나는 조건은 나쁘지 않았지만 이 방식은 오래 이어가기 어렵다고 느낀 장면입니다.
ACT3-8,A3-08,2:58.92,3:01.98,3.06,두 장면을 비교하며 세 가지를 살펴봅니다.,,두 장면 사이 중앙 책상에 빈 비교표 3행이 놓임.,후퇴 — 두 공간과 가운데 실제 메모지 3칸을 함께 담는 whole | 세 행 모두 아직 비움,생성영상,정지+카메라,ACT3-8_350s/03_S03_x2cuts.png,두 장면을 비교하며 세 가지를 살펴봅니다.
ACT3-8,A3-09,3:01.98,3:08.42,6.44,"혼자 깊게 생각할 시간이 필요했는지, 자주 대화하며 발전시키는 과정이 필요했는지 봅니다.",,첫 행만 채워짐. 좌측 조용한 개인석 / 우측 대화 중인 협업석의 작은 사진 카드.,관통 — 첫째 칸에서 개인 서재 깊이→협업 테이블 방향으로 수평 track | 2·3행 선행 금지,생성영상,정지+카메라,ACT3-8_350s/04_Q04_x1cuts.png,"혼자 깊게 생각할 시간이 필요했는지, 자주 대화하며 발전시키는 과정이 필요했는지 봅니다."
ACT3-8,A3-10,3:08.42,3:15.48,7.06,"빠르게 시도하고 고치는 방식이 맞았는지, 충분히 준비한 뒤 완성도를 높이는 방식이 맞았는지 봅니다.",,둘째 행만 추가. 여러 초안 묶음 / 정교한 단일 초안의 실물 대비.,관통 — 둘째 칸에서 빠른 시제품 책상→완성도 검토 책상으로 lateral dolly | 셋째 행 선행 금지,생성영상,정지+카메라,ACT3-8_350s/05_Q05_x1cuts.png,"빠르게 시도하고 고치는 방식이 맞았는지, 충분히 준비한 뒤 완성도를 높이는 방식이 맞았는지 봅니다."
